Pgroup,Lp,PKod,Pname,p_sale_in_time,Psale,Pavarage_stock,Rotation_in_days,Rotation_in_times
ART._HYGIENIC,,,,,,,,
 ,1.0,18197.0,BATERIA ENERGIZER BASE AA LR6/PALUSZEK D,0,"0,00","0,00",-,-
 ,1.0,6702.0,FARBY PLAKATOWE 12 KOLOROW,0,"0,00","0,00",-,-
 ,1.0,3021.0,PODPALKA KOSTKA,0,"0,00","0,00",-,-
 ,1.0,3023.0,PODPALKA W PLYNIE 500ML,0,"0,00","0,00",-,-
 ,1.0,6707.0,TOREBKA NA PREZENT,0,"0,00","0,00",-,-
 ,1.0,6699.0,ZESZYT W KRATKE 32 K,0,"0,00","0,00",-,-
 ,,,,,,,,
 ,1.0,12888.0,"*GAZETA  5 % VATVAT  5%,","1,109625668","415,00","0,00",0,
 ,1.0,12492.0,"*GAZETA  8% VATVAT  8%,","15,01871658","5617,00","0,00",0,
 ,1.0,12459.0,"*GAZETA 23% VATVAT 23%,","0,034759358","13,00","14,00","402,7692308","0,928571429"
 ,1.0,12461.0,"*GAZETA VAT  0%,",0,"0,00","0,00",-,-
CHEMISTRY,,,,,,,,
 ,1.0,5307.0, PATYCZKI BELLA 200,"0,042780749","16,00","0,00",0,
 ,1.0,69.0,AJAX DO CZYSZCZENIA 500G LEMON,"0,002673797","1,00","0,00",0,
 ,1.0,8835.0,APART PLYN DO KAPIELI 750 ML,"0,00802139","3,00","0,00",0,
 ,1.0,8834.0,APART PLYN DO KAPIELI 750 ML,"0,00802139","3,00","0,00",0,
 ,1.0,10232.0,ARIEL KAPSU?KI DO BIA?EGO 32SZT,"0,109625668","41,00","0,00",0,
 ,1.0,10233.0,ARIEL KAPSU?KI DO KOLORU 32SZT,"0,002673797","1,00","0,00",0,
 ,1.0,3895.0,BAMBINO OLIWKA DLA DZIECI 150G,"0,00802139","3,00","0,00",0,
 ,1.0,6995.0,BARWNIKI DO JAJ HIT,"0,002673797","1,00","0,00",0,
 ,1.0,7927.0,BATERIA AA LR3,"0,018716578","7,00","0,00",0,
 ,1.0,2560.0,"BATERIA GP PLASKA 3R12 4,5V  312GR","0,002673797","1,00","0,00",0,
 ,1.0,10365.0,BATERIA MAXELL R3 AA,"0,069518717","26,00","0,00",0,
 ,1.0,5691.0,BATERIA R14 1 SZT,"0,032085561","12,00","0,00",0,
 ,1.0,5156.0,BATERIA R6 AA,"0,655080214","245,00","0,00",0,
 ,1.0,7921.0,BATERIA R6 ALKAICZ,"0,625668449","234,00","0,00",0,
 ,1.0,2820.0,BELLA HERBS 12 SZT,"0,042780749","16,00","0,00",0,
 ,1.0,19406.0,BELLA HERBS PODPASKI K.LIPY 12,"0,037433155","14,00","0,00",0,
 ,1.0,17042.0,BELLA HUSTECZKI NAS.10 SZT,"0,002673797","1,00","0,00",0,
 ,1.0,6436.0,BELLA PATYCZKI 100 SZT FOLIA,"0,005347594","2,00","0,00",0,
 ,1.0,17047.0,BELLA PODPASKI  MAX GREEN,"0,024064171","9,00","0,00",0,
 ,1.0,10086.0,BIALY JELEN PLYN DO KAPIELI 750 ML,"0,00802139","3,00","0,00",0,
 ,1.0,10079.0,BIALY JELEN PLYN DO KAPIELI 750 ML,"0,00802139","3,00","0,00",0,
 ,1.0,10080.0,BIALY JELEN PLYN DO KAPIELI 750 ML,"0,00802139","3,00","0,00",0,
 ,1.0,5333.0,BIALY JELEN SZAMPON 300 ML,"0,013368984","5,00","0,00",0,
 ,1.0,8793.0,BIBULA MIX,"0,026737968","10,00","0,00",0,
 ,1.0,4235.0,BLOK RYSUNKOWY,"0,026737968","10,00","0,00",0,
 ,1.0,8792.0,BLOK TECHNICZNY,"0,026737968","10,00","0,00",0,
 ,1.0,18282.0,BLOK TECHNICZNY KOLOR,"0,00802139","3,00","0,00",0,
 ,1.0,9800.0,BLOK TECHNICZY A4,"0,026737968","10,00","0,00",0,
 ,1.0,7190.0,BRAIT KULKI DO WC,"0,016042781","6,00","0,00",0,
 ,1.0,4544.0,BREF 4 FORMU?A POWER,"0,069518717","26,00","0,00",0,
 ,1.0,11597.0,BREF 4-FORMULA AKTIV,"0,104278075","39,00","0,00",0,
 ,1.0,17596.0,BREF DO WC 750 ML,"0,00802139","3,00","0,00",0,
 ,1.0,9907.0,BREF KULKI 3*50 G,"0,00802139","3,00","0,00",0,
 ,1.0,9904.0,BREF KULKI 3*50 G,"0,00802139","3,00","0,00",0,
 ,1.0,9902.0,BREF KULKI 3*50G,"0,00802139","3,00","0,00",0,
 ,1.0,4123.0,BREF KULKI BLU AKTIV,"0,029411765","11,00","0,00",0,
 ,1.0,8865.0,BREF KULKI BLUE TURK 50 G,"0,018716578","7,00","0,00",0,
 ,1.0,9724.0,BREF KULKI WC,"0,016042781","6,00","0,00",0,
 ,1.0,10157.0,BREF KULKI WC 50 G,"0,005347594","2,00","0,00",0,
 ,1.0,18394.0,BREF KULKI WC CHLORINE,"0,002673797","1,00","0,00",0,
 ,1.0,10156.0,BREF KULKI WC PERFUME,"0,010695187","4,00","0,00",0,
 ,1.0,16849.0,BREF WC KULKI,"0,024064171","9,00","0,00",0,
 ,1.0,11712.0,BROS LEP NA OKNO,"0,005347594","2,00","0,00",0,
 ,1.0,10297.0,BROS PLYN NA KOMARY DLA DZIECI,"0,002673797","1,00","0,00",0,
 ,1.0,10298.0,BROS ZEL LAGODZACY UKASZENIA,"0,002673797","1,00","0,00",0,
 ,1.0,9970.0,CHUST.NAWILZANE NANA 72 SZT,"0,018716578","7,00","0,00",0,
 ,1.0,16574.0,CHUSTECZKI,"0,13368984","50,00","0,00",0,
 ,1.0,32.0,CHUSTECZKI  BABY KINDI 72 SZT,"0,021390374","8,00","0,00",0,
 ,1.0,3033.0,CHUSTECZKI BABY KINDII 60 SZT,"0,010695187","4,00","0,00",0,
 ,1.0,13847.0,CHUSTECZKI CHIGIENICZNE 100+50 GRATIS,"0,06684492","25,00","0,00",0,
 ,1.0,15619.0,CHUSTECZKI DO HIG.INTYMNEJ 20,"0,005347594","2,00","0,00",0,
 ,1.0,9856.0,CHUSTECZKI DO HIG.INTYMNEJ BELLA A20 SEN,"0,00802139","3,00","0,00",0,
 ,1.0,17206.0,CHUSTECZKI HAPPY,"0,010695187","4,00","0,00",0,
 ,1.0,17045.0,CHUSTECZKI HAPPY NAS. 64 SZT,"0,010695187","4,00","0,00",0,
 ,1.0,15332.0,CHUSTECZKI HAPPY NASACZ.64 SZT,"0,010695187","4,00","0,00",0,
 ,1.0,18575.0,CHUSTECZKI HAPPY NO 1,"1,061497326","397,00","0,00",0,
 ,1.0,1867.0,CHUSTECZKI MEA 100 SZT,"0,016042781","6,00","0,00",0,
 ,1.0,9185.0,CHUSTECZKI NAS.64 SZT,"0,024064171","9,00","0,00",0,
 ,1.0,9184.0,CHUSTECZKI NASA.56 SZT HAPPY,"0,013368984","5,00","0,00",0,
 ,1.0,8178.0,CHUSTECZKI NASACZ.DO DZIECI 72 SZT,"0,005347594","2,00","0,00",0,
 ,1.0,8144.0,CIENKOPISY  6 KOLOR,"0,002673797","1,00","0,00",0,
 ,1.0,10936.0,CIF LEMON NEW 500ML,"0,002673797","1,00","0,00",0,
 ,1.0,3797.0,CLIN 500 ML Z ROSPL APPLA,"0,00802139","3,00","0,00",0,
 ,1.0,2158.0,CLIN DO SZYB 500 ML Z DOZOWNIKIEM,"0,048128342","18,00","0,00",0,
 ,1.0,19335.0,CLIN LEMON 500 ML Z DOZ.,"0,056149733","21,00","0,00",0,
 ,1.0,2906.0,CLIN ZAPAS 500 ML,"0,042780749","16,00","0,00",0,
 ,1.0,8005.0,COLGATE SZCZOTECZKA PLUS MEDIUM,"0,021390374","8,00","0,00",0,
 ,1.0,5480.0,COLGATE SZCZOTECZKA ZIG ZAG,"0,013368984","5,00","0,00",0,
 ,1.0,8125.0,CYRKIEL,"0,005347594","2,00","0,00",0,
 ,1.0,5213.0,DA JOGURT ALE PITNY TRUS.290 G,"0,034759358","13,00","0,00",0,
 ,1.0,17539.0,"DENATURAT 0,5 L BIALY","0,013368984","5,00","0,00",0,
 ,1.0,4338.0,"DENATURAT 0,5 ML","0,026737968","10,00","0,00",0,
 ,1.0,17460.0,DENATURAT 500ML BOS,"0,002673797","1,00","0,00",0,
 ,1.0,8133.0,DLUGOPIS 6 KOLOR,"0,005347594","2,00","0,00",0,
 ,1.0,16425.0,DLUGOPIS KOLOR,"0,002673797","1,00","0,00",0,
 ,1.0,6266.0,DLUGOPIS Z DODATKIEM,"0,002673797","1,00","0,00",0,
 ,1.0,9975.0,DO PIELEGNACJI MEBLI 400ML GOLD WAX,"0,005347594","2,00","0,00",0,
 ,1.0,17591.0,DOMESTOS 750 ML ATLANTIC,"0,005347594","2,00","0,00",0,
 ,1.0,8859.0,DOMESTOS 750 ML LIME ZERO,"0,005347594","2,00","0,00",0,
 ,1.0,5727.0,DOMESTOS ZIELONY 750 ML,"0,005347594","2,00","0,00",0,
 ,1.0,9218.0,DRUCIAK 1 SZT,"0,021390374","8,00","0,00",0,
 ,1.0,9045.0,DRUCIAK SPIRALNY,"0,032085561","12,00","0,00",0,
 ,1.0,9575.0,"E DO PLUKANIA 0,9 L","0,016042781","6,00","0,00",0,
 ,1.0,8188.0,"E DO PLUKANIA 1,8 L KONC","0,016042781","6,00","0,00",0,
 ,1.0,8187.0,E DO PLUKANIA 2 L KONC,"0,016042781","6,00","0,00",0,
 ,1.0,3579.0,E PLYN DO PLUKANIA 1 L,"0,016042781","6,00","0,00",0,
 ,1.0,9932.0,"E PROSZEK 1,4 KG","0,005347594","2,00","0,00",0,
 ,1.0,9573.0,"E PROSZEK 4,9 KG","0,005347594","2,00","0,00",0,
 ,1.0,9931.0,E ZEL DO PRANIA COLOR 1 L,"0,005347594","2,00","0,00",0,
 ,1.0,8848.0,EVA MYDLO W PLYNIE 500 ML Z DOZOWNIKIEM,"0,024064171","9,00","0,00",0,
 ,1.0,8181.0,EVA MYDLO W PLYNIE Z DOZOW 500 ML,"0,002673797","1,00","0,00",0,
 ,1.0,8182.0,EVA MYDLO W PLYNIE Z DOZOW 500 ML,"0,002673797","1,00","0,00",0,
 ,1.0,5571.0,EVA SIMPLA ZEL DO MYCIA 500 ML,"0,002673797","1,00","0,00",0,
 ,1.0,8028.0,EVA SIMPLE 500 ML SZAMPON Z JEDWABIEM,"0,005347594","2,00","0,00",0,
 ,1.0,8026.0,EVA SIMPLE 500 ML Z OWSEM,"0,002673797","1,00","0,00",0,
 ,1.0,8029.0,EVA SIMPLE SZAMPON 500 ML Z JEMIO?A,"0,002673797","1,00","0,00",0,
 ,1.0,8027.0,EVA SIMPLE SZAMPON 500 ML Z LANOLINA,"0,002673797","1,00","0,00",0,
 ,1.0,5573.0,EVA SIMPLE ZEL DO MYCIA CIALA 500 ML,"0,002673797","1,00","0,00",0,
 ,1.0,9188.0,EWA BALSAM DO OPALANIA 200 ML SOFT,"0,005347594","2,00","0,00",0,
 ,1.0,9191.0,EWA KREM OCHRONNY 25 ML,"0,005347594","2,00","0,00",0,
 ,1.0,10242.0,EWA MYDLO 500 G Z DOZOWNIKIEM ALOES,"0,005347594","2,00","0,00",0,
 ,1.0,9183.0,EWA SZAMOPN BRZOZA 400 ML,"0,018716578","7,00","0,00",0,
 ,1.0,9408.0,EWA SZAMPON POTROJNA SILA ZIÓ? 400 ML,"0,00802139","3,00","0,00",0,
 ,1.0,5032.0,EWA SZAMPON ZIOLA 400 ML,"0,005347594","2,00","0,00",0,
 ,1.0,4950.0,FAIRY 1 L APPLE,"0,021390374","8,00","0,00",0,
 ,1.0,13769.0,FAIRY 500 ML CYTRYNA,"0,024064171","9,00","0,00",0,
 ,1.0,8122.0,FARBY PLAKATOWE 6 KOLOR,"0,013368984","5,00","0,00",0,
 ,1.0,8139.0,FLAMASTRY 12 SZT,"0,002673797","1,00","0,00",0,
 ,1.0,16685.0,FOLIA ALUMINIOWA 10 M,"0,013368984","5,00","0,00",0,
 ,1.0,18817.0,FOLIA ALUMINIOWA 10 M ANNA,"0,016042781","6,00","0,00",0,
 ,1.0,7112.0,FOLIA ALUMINIOWA 10M PAN PACK,"0,20855615","78,00","0,00",0,
 ,1.0,8862.0,FOLIA ALUMINIOWA 20 M,"0,06684492","25,00","0,00",0,
 ,1.0,17796.0,FOLIA ALUMINIOWA 20 M,"0,013368984","5,00","0,00",0,
 ,1.0,14145.0,FOLIA SPOZYWCZA 30M PACLAN,"0,024064171","9,00","0,00",0,
 ,1.0,19256.0,GABKA DO KAPIELI,"0,029411765","11,00","0,00",0,
 ,1.0,18440.0,GABKA DO KAPIELI I MASAZU,"0,050802139","19,00","0,00",0,
 ,1.0,10791.0,GAZA OPATRUNKOWA 1 M,"0,002673797","1,00","0,00",0,
 ,1.0,593.0,GILELETTE PIANKA DO GOLENIA,"0,010695187","4,00","0,00",0,
 ,1.0,8006.0,GILLETTE BLU 3,"0,00802139","3,00","0,00",0,
 ,1.0,545.0,GILLETTE MASZYNKA BLU 2 PLUS,"0,28342246","106,00","0,00",0,
